country,satellite_name,approximate_orbit_type,record_id,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,HRR_Category,is_nominated,nominated_at,norad_cat_id,has_dossier,last_updated_at,justification,focused_analysis,days_old,conjunction_count,is_unk_object,all_maneuvers,days_since_ob,recent_maneuvers,deltaV_90day,has_sister_debris
PRC,FENGYUN 1C DEB,LEO,32119,Debris,1999,TSC,156.1541958,-76.53691091,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,32119,FALSE,2023-01-01T00:00:00.000Z,-,-,9400,0,FALSE,0,0,0,0.0,FALSE
FR,ARIANE 2 DEB,HEO,33558,Debris,1989,FRGUI,-166.7406377,133.0162242,"5.222222,-52.773611",Blue,FALSE,2023-01-01T00:00:00.000Z,33558,FALSE,2023-01-01T00:00:00.000Z,-,-,13155,0,FALSE,0,0,0,0.0,FALSE
US,IRIDIUM 33 DEB,LEO,33776,Debris,1997,TTMTR,-161.531332,-162.0095456,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,33776,FALSE,2023-01-01T00:00:00.000Z,-,-,10003,0,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 2251 DEB,LEO,35796,Debris,1993,PKMTR,130.7502125,0.0,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,35796,FALSE,2023-01-01T00:00:00.000Z,-,-,11554,0,FALSE,0,0,0,0.0,FALSE
US,NAVSTAR 68 (USA 242),MEO,39166,Payload,2013,AFETR,28.25676647,91.14947619,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,39166,FALSE,2023-01-01T00:00:00.000Z,-,-,4281,0,FALSE,0,0,0,0.0,FALSE
PRC,CZ-3C DEB,HEO,40862,Debris,2012,XSC,0.0,0.0,"28.246017,102.026556",Blue,FALSE,2023-01-01T00:00:00.000Z,40862,FALSE,2023-01-01T00:00:00.000Z,-,-,4727,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-12 DEB,HEO,48539,Debris,2008,TTMTR,0.0,0.0,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,48539,FALSE,2023-01-01T00:00:00.000Z,-,-,5974,0,FALSE,0,0,0,0.0,FALSE
UK,ONEWEB-0340,LEO,49206,Payload,2021,TTMTR,-151.8141968,-58.74088174,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,49206,FALSE,2023-01-01T00:00:00.000Z,-,-,1237,0,FALSE,0,0,0,0.0,FALSE
UK,ONEWEB-0347,LEO,49280,Payload,2021,VOSTO,-34.18039604,156.9912223,"51.884553,128.334778",Blue,FALSE,2023-01-01T00:00:00.000Z,49280,FALSE,2023-01-01T00:00:00.000Z,-,-,1207,0,FALSE,0,0,0,0.0,FALSE
UK,ONEWEB-0438,LEO,51634,Payload,2022,FRGUI,85.3236077,-94.10556941,"5.222222,-52.773611",Blue,FALSE,2023-01-01T00:00:00.000Z,51634,FALSE,2023-01-01T00:00:00.000Z,-,-,1088,0,FALSE,0,0,0,0.0,FALSE
US,STARLINK-3639,LEO,51789,Payload,2022,AFWTR,23.50347007,62.9845702,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,51789,FALSE,2023-01-01T00:00:00.000Z,-,-,1073,17,FALSE,0,0,0,0.0,FALSE
CIS,SL-8 R/B,LEO,5181,Rocket Body,1971,PKMTR,77.29306131,-144.6792282,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,5181,FALSE,2023-01-01T00:00:00.000Z,-,-,19639,0,FALSE,0,0,0,0.0,FALSE
US,ATLAS 5 CENTAUR DEB,HEO,52967,Debris,2018,AFETR,0.0,0.0,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,52967,FALSE,2023-01-01T00:00:00.000Z,-,-,2300,0,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 2251 DEB,LEO,53093,Debris,1993,PKMTR,-1.027667928,145.8261586,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,53093,FALSE,2023-01-01T00:00:00.000Z,-,-,11554,0,FALSE,0,0,0,0.0,FALSE
US,STARLINK-4354,LEO,53223,Payload,2022,AFWTR,34.33020449,131.3071355,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,53223,FALSE,2023-01-01T00:00:00.000Z,-,-,926,6,FALSE,0,0,0,0.0,FALSE
US,STARLINK-5127,LEO,54010,Payload,2022,AFWTR,-80.57765731,-41.81888148,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,54010,FALSE,2023-01-01T00:00:00.000Z,-,-,851,8,FALSE,0,0,0,0.0,FALSE
US,STARLINK-5246,LEO,54198,Payload,2022,AFWTR,92.60330935,148.7792243,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,54198,FALSE,2023-01-01T00:00:00.000Z,-,-,828,10,FALSE,0,0,0,0.0,FALSE
US,STARLINK-6258,LEO,56413,Payload,2023,AFETR,55.36119812,23.89291919,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,56413,FALSE,2023-01-01T00:00:00.000Z,-,-,640,5,FALSE,0,0,0,0.0,FALSE
US,STARLINK-6138,LEO,57329,Payload,2023,AFETR,54.49633275,22.98512313,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,57329,FALSE,2023-01-01T00:00:00.000Z,-,-,567,9,FALSE,0,0,0,0.0,FALSE
US,STARLINK-31070,LEO,58639,Payload,2023,AFETR,107.8044107,-41.53728907,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,58639,FALSE,2023-01-01T00:00:00.000Z,-,-,407,12,FALSE,0,0,0,0.0,FALSE
